%%TimeStamp	dp_x	dp_y	dp_z	dv_x	dv_y	dv_z	dq_x	dq_y	dq_z	dq_w	Dp_x	Dp_y	Dp_z	Dv_x	Dv_y	Dv_z	Dq_x	Dq_y	Dq_z	Dq_w	X_x	X_y	X_z	Xv_x	Xv_y	Xv_z	Xq_x	Xq_y	Xq_z	Xq_w	
0.036	-2.43035e-08	-1.13905e-07	4.76191e-06	-4.86071e-05	-0.00022781	0.00952382	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0359917	0.0720637	0.0657079	0.999322	2.00526	1.65216	0.999994	-0.00125664	0.000628318	-0.00314159	0.0719917	-6.3708e-05	-5.83162e-05	1.99932	-0.00526488	-0.00496474	-0.00314159	-0.000628318	-0.00125664	-0.999994
0.037	-2.49826e-08	-1.17086e-07	4.75796e-06	-4.99652e-05	-0.000234172	0.00951592	8.72665e-05	1.74533e-05	3.49066e-05	1	0.036991	0.0740691	0.0673553	0.999284	2.00556	1.64265	0.999994	-0.00129154	0.000645771	-0.00322885	0.073991	-6.91199e-05	-6.34238e-05	1.99928	-0.00555895	-0.00525042	-0.00322885	-0.000645771	-0.00129154	-0.999994
0.038	-2.56618e-08	-1.20268e-07	4.75402e-06	-5.13236e-05	-0.000240535	0.00950804	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0379902	0.0760748	0.0689932	0.999246	2.00586	1.63314	0.999993	-0.00132645	0.000663224	-0.00331612	0.0759902	-7.48299e-05	-6.88211e-05	1.99925	-0.00586099	-0.00554408	-0.00331612	-0.000663224	-0.00132645	-0.999993
0.039	-2.63413e-08	-1.2345e-07	4.75008e-06	-5.26825e-05	-0.000246899	0.00950015	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0389895	0.0780808	0.0706216	0.999207	2.00617	1.62365	0.999993	-0.00136135	0.000680677	-0.00340339	0.0779895	-8.08459e-05	-7.4516e-05	1.99921	-0.00617102	-0.00584571	-0.00340339	-0.000680677	-0.00136135	-0.999993
0.04	-2.70209e-08	-1.26633e-07	4.74614e-06	-5.40417e-05	-0.000253265	0.00949228	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0399887	0.0800872	0.0722405	0.999166	2.00649	1.61416	0.999993	-0.00139626	0.00069813	-0.00349065	0.0799887	-8.71759e-05	-8.05165e-05	1.99917	-0.00648901	-0.00615531	-0.00349065	-0.00069813	-0.00139626	-0.999993
0.041	-2.77007e-08	-1.29817e-07	4.7422e-06	-5.54014e-05	-0.000259633	0.0094844	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0409878	0.0820938	0.0738499	0.999125	2.00681	1.60467	0.999992	-0.00143117	0.000715583	-0.00357792	0.0819878	-9.38279e-05	-8.68306e-05	1.99912	-0.00681499	-0.00647289	-0.00357792	-0.000715583	-0.00143117	-0.999992
0.042	-2.83808e-08	-1.33001e-07	4.73827e-06	-5.67615e-05	-0.000266001	0.00947653	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0419869	0.0841008	0.0754499	0.999083	2.00715	1.5952	0.999992	-0.00146607	0.000733037	-0.00366518	0.0839869	-0.00010081	-9.34662e-05	1.99908	-0.00714894	-0.00679844	-0.00366518	-0.000733037	-0.00146607	-0.999992
0.043	-2.9061e-08	-1.36185e-07	4.73433e-06	-5.8122e-05	-0.000272371	0.00946866	8.72665e-05	1.74533e-05	3.49066e-05	1	0.042986	0.0861081	0.0770403	0.999039	2.00749	1.58573	0.999992	-0.00150098	0.00075049	-0.00375245	0.085986	-0.00010813	-0.000100431	1.99904	-0.00749086	-0.00713195	-0.00375245	-0.00075049	-0.00150098	-0.999992
0.044	-2.97415e-08	-1.39371e-07	4.7304e-06	-5.94829e-05	-0.000278742	0.00946079	8.72665e-05	1.74533e-05	3.49066e-05	1	0.043985	0.0881158	0.0786213	0.998995	2.00784	1.57627	0.999991	-0.00153589	0.000767943	-0.00383971	0.087985	-0.000115796	-0.000107734	1.99899	-0.00784075	-0.00747345	-0.00383971	-0.000767943	-0.00153589	-0.999991
0.045	-3.04221e-08	-1.42557e-07	4.72647e-06	-6.08442e-05	-0.000285114	0.00945293	8.72665e-05	1.74533e-05	3.49066e-05	1	0.044984	0.0901238	0.0801929	0.998949	2.0082	1.56682	0.999991	-0.00157079	0.000785396	-0.00392698	0.089984	-0.000123815	-0.000115382	1.99895	-0.00819861	-0.0078229	-0.00392698	-0.000785396	-0.00157079	-0.999991
0.046	-3.1103e-08	-1.45744e-07	4.72254e-06	-6.22059e-05	-0.000291487	0.00944508	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0459829	0.0921322	0.081755	0.998903	2.00856	1.55738	0.99999	-0.0016057	0.000802849	-0.00401425	0.0919829	-0.000132197	-0.000123384	1.9989	-0.00856444	-0.00818032	-0.00401425	-0.000802849	-0.0016057	-0.99999
0.047	-3.17841e-08	-1.48931e-07	4.71861e-06	-6.35681e-05	-0.000297862	0.00943722	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0469818	0.0941409	0.0833076	0.998856	2.00894	1.54795	0.99999	-0.0016406	0.000820302	-0.00410151	0.0939818	-0.000140948	-0.000131747	1.99886	-0.00893824	-0.00854571	-0.00410151	-0.000820302	-0.0016406	-0.99999
0.048	-3.24653e-08	-1.52119e-07	4.71469e-06	-6.49306e-05	-0.000304237	0.00942938	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0479806	0.0961501	0.0848509	0.998807	2.00932	1.53852	0.999989	-0.00167551	0.000837755	-0.00418878	0.0959806	-0.000150077	-0.000140479	1.99881	-0.00932	-0.00891905	-0.00418878	-0.000837755	-0.00167551	-0.999989
0.049	-3.31468e-08	-1.55307e-07	4.71077e-06	-6.62935e-05	-0.000310614	0.00942153	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0489794	0.0981596	0.0863847	0.998758	2.00971	1.5291	0.999989	-0.00171042	0.000855209	-0.00427604	0.0979794	-0.000159592	-0.000149589	1.99876	-0.00970973	-0.00930035	-0.00427604	-0.000855209	-0.00171042	-0.999989
0.05	-3.38285e-08	-1.58496e-07	4.70685e-06	-6.76569e-05	-0.000316991	0.00941369	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0499781	0.10017	0.0879091	0.998708	2.01011	1.51969	0.999989	-0.00174532	0.000872662	-0.00436331	0.0999781	-0.000169501	-0.000159084	1.99871	-0.0101074	-0.00968962	-0.00436331	-0.000872662	-0.00174532	-0.999989
0.051	-3.45103e-08	-1.61684e-07	4.70292e-06	-6.90206e-05	-0.000323369	0.00940585	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0509768	0.10218	0.0894241	0.998656	2.01051	1.51029	0.999988	-0.00178023	0.000890115	-0.00445057	0.101977	-0.000179811	-0.000168972	1.99866	-0.0105131	-0.0100868	-0.00445057	-0.000890115	-0.00178023	-0.999988
0.052	-3.51924e-08	-1.64875e-07	4.69901e-06	-7.03848e-05	-0.000329749	0.00939802	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0519754	0.104191	0.0909297	0.998604	2.01093	1.50089	0.999988	-0.00181514	0.000907568	-0.00453784	0.103975	-0.000190531	-0.000179262	1.9986	-0.0109267	-0.010492	-0.00453784	-0.000907568	-0.00181514	-0.999988
0.053	-3.58747e-08	-1.68065e-07	4.6951e-06	-7.17493e-05	-0.000336129	0.00939019	8.72665e-05	1.74533e-05	3.49066e-05	1	0.052974	0.106202	0.0924259	0.998551	2.01135	1.49151	0.999987	-0.00185004	0.000925021	-0.0046251	0.105974	-0.000201668	-0.00018996	1.99855	-0.0113482	-0.0109052	-0.0046251	-0.000925021	-0.00185004	-0.999987
0.054	-3.65572e-08	-1.71255e-07	4.69119e-06	-7.31143e-05	-0.00034251	0.00938237	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0539725	0.108213	0.0939127	0.998496	2.01178	1.48213	0.999987	-0.00188495	0.000942474	-0.00471237	0.107973	-0.000213231	-0.000201076	1.9985	-0.0117778	-0.0113262	-0.00471237	-0.000942474	-0.00188495	-0.999987
0.055	-3.72398e-08	-1.74446e-07	4.68727e-06	-7.44796e-05	-0.000348892	0.00937454	8.72665e-05	1.74533e-05	3.49066e-05	1	0.054971	0.110225	0.0953901	0.998441	2.01222	1.47276	0.999986	-0.00191985	0.000959927	-0.00479964	0.109971	-0.000225228	-0.000212617	1.99844	-0.0122152	-0.0117553	-0.00479964	-0.000959927	-0.00191985	-0.999986
0.056	-3.79227e-08	-1.77638e-07	4.68337e-06	-7.58454e-05	-0.000355275	0.00936673	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0559694	0.112238	0.0968582	0.998385	2.01266	1.46339	0.999986	-0.00195476	0.00097738	-0.0048869	0.111969	-0.000237666	-0.00022459	1.99838	-0.0126607	-0.0121923	-0.0048869	-0.00097738	-0.00195476	-0.999986
0.057	-3.86058e-08	-1.8083e-07	4.67946e-06	-7.72115e-05	-0.000361659	0.00935892	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0569678	0.114251	0.0983169	0.998327	2.01311	1.45404	0.999985	-0.00198967	0.000994833	-0.00497417	0.113968	-0.000250553	-0.000237005	1.99833	-0.013114	-0.0126372	-0.00497417	-0.000994833	-0.00198967	-0.999985
0.058	-3.92891e-08	-1.84022e-07	4.67556e-06	-7.85781e-05	-0.000368043	0.00935111	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0579661	0.116264	0.0997663	0.998269	2.01358	1.44469	0.999985	-0.00202457	0.00101229	-0.00506143	0.115966	-0.000263898	-0.000249869	1.99827	-0.0135754	-0.0130901	-0.00506143	-0.00101229	-0.00202457	-0.999985
0.059	-3.99725e-08	-1.87214e-07	4.67165e-06	-7.9945e-05	-0.000374428	0.0093433	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0589643	0.118278	0.101206	0.99821	2.01404	1.43535	0.999984	-0.00205948	0.00102974	-0.0051487	0.117964	-0.000277708	-0.000263189	1.99821	-0.0140446	-0.0135509	-0.0051487	-0.00102974	-0.00205948	-0.999984
0.06	-4.06562e-08	-1.90407e-07	4.66775e-06	-8.13124e-05	-0.000380813	0.0093355	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0599625	0.120292	0.102637	0.99815	2.01452	1.42602	0.999984	-0.00209438	0.00104719	-0.00523596	0.119962	-0.000291991	-0.000276975	1.99815	-0.0145218	-0.0140197	-0.00523596	-0.00104719	-0.00209438	-0.999984
0.061	-4.13401e-08	-1.936e-07	4.66386e-06	-8.26801e-05	-0.0003872	0.00932771	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0609606	0.122307	0.104058	0.998088	2.01501	1.4167	0.999983	-0.00212929	0.00106465	-0.00532323	0.121961	-0.000306755	-0.000291233	1.99809	-0.015007	-0.0144964	-0.00532323	-0.00106465	-0.00212929	-0.999983
0.062	-4.20242e-08	-1.96794e-07	4.65996e-06	-8.40483e-05	-0.000393587	0.00931992	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0619587	0.124322	0.10547	0.998026	2.0155	1.40738	0.999982	-0.0021642	0.0010821	-0.00541049	0.123959	-0.000322009	-0.000305971	1.99803	-0.0155001	-0.014981	-0.00541049	-0.0010821	-0.0021642	-0.999982
0.063	-4.27084e-08	-1.99987e-07	4.65607e-06	-8.54168e-05	-0.000399974	0.00931213	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0629566	0.126338	0.106873	0.997963	2.016	1.39807	0.999982	-0.0021991	0.00109955	-0.00549776	0.125957	-0.00033776	-0.000321199	1.99796	-0.0160011	-0.0154736	-0.00549776	-0.00109955	-0.0021991	-0.999982
0.064	-4.33929e-08	-2.03181e-07	4.65218e-06	-8.67857e-05	-0.000406362	0.00930435	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0639546	0.128354	0.108267	0.997898	2.01651	1.38877	0.999981	-0.00223401	0.001117	-0.00558502	0.127955	-0.000354015	-0.000336923	1.9979	-0.0165101	-0.0159741	-0.00558502	-0.001117	-0.00223401	-0.999981
0.065	-4.40775e-08	-2.06376e-07	4.64829e-06	-8.8155e-05	-0.000412751	0.00929657	8.72665e-05	1.74533e-05	3.49066e-05	1	0.0649524	0.130371	0.109651	0.997833	2.01703	1.37948	0.999981	-0.00226891	0.00113446	-0.00567229	0.129952	-0.000370784	-0.000353151	1.99783	-0.017027	-0.0164826	-0.00567229	-0.00113446	-0.00226891	-0.999981
